Country Name,Country Code,Year,Access to electricity (% of population) - EG.ELC.ACCS.ZS,Adjusted net national income per capita (annual % growth) - NY.ADJ.NNTY.PC.KD.ZG,"Adjusted net savings, excluding particulate emission damage (% of GNI) - NY.ADJ.SVNX.GN.ZS",Adjusted savings: carbon dioxide damage (% of GNI) - NY.ADJ.DCO2.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) - NY.ADJ.DRES.GN.ZS,Adjusted savings: net forest depletion (% of GNI) - NY.ADJ.DFOR.GN.ZS,Adjusted savings: particulate emission damage (% of GNI) - NY.ADJ.DPEM.GN.ZS,"Automated teller machines (ATMs) (per 100,000 adults) - FB.ATM.TOTL.P5",Broad money (% of GDP) - FM.LBL.BMNY.GD.ZS,Children out of school (% of primary school age) - SE.PRM.UNER.ZS,"Compulsory education, duration (years) - SE.COM.DURS","Cost of business start-up procedures, female (% of GNI per capita) - IC.REG.COST.PC.FE.ZS","Cost of business start-up procedures, male (% of GNI per capita) - IC.REG.COST.PC.MA.ZS",Exports of goods and services (% of GDP) - NE.EXP.GNFS.ZS,Final consumption expenditure (% of GDP) - NE.CON.TOTL.ZS,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,General government final consumption expenditure (% of GDP) - NE.CON.GOVT.ZS,Gross national expenditure (% of GDP) - NE.DAB.TOTL.ZS,Gross savings (% of GDP) - NY.GNS.ICTR.ZS,Imports of goods and services (% of GDP) - NE.IMP.GNFS.ZS,"Inflation, consumer prices (annual %) - FP.CPI.TOTL.ZG","Primary completion rate, total (% of relevant age group) - SE.PRM.CMPT.ZS",Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,"Pupil-teacher ratio, primary - SE.PRM.ENRL.TC.ZS",Renewable electricity output (% of total electricity output) - EG.ELC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption) - EG.FEC.RNEW.ZS,"School enrollment, preprimary (% gross) - SE.PRE.ENRR","School enrollment, primary (% gross) - SE.PRM.ENRR","School enrollment, secondary (% gross) - SE.SEC.ENRR",Trade (% of GDP) - NE.TRD.GNFS.ZS,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Prevalence of undernourishment (%) - SN_ITK_DEFC - 2.1.1,Proportion of population below international poverty line (%) - SI_POV_DAY1 - 1.1.1,Proportion of population covered by at least a 2G mobile network (%) - IT_MOB_2GNTWK - 9.c.1,Proportion of population covered by at least a 3G mobile network (%) - IT_MOB_3GNTWK - 9.c.1,Proportion of population using basic drinking water services (%) - SP_ACS_BSRVH2O - 1.4.1,"Unemployment rate, male (%) - SL_TLF_UEM - 8.5.2","Unemployment rate, women (%) - SL_TLF_UEM - 8.5.2","Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes",Continent,Gini index (World Bank estimate) - SI.POV.GINI,Income Classification (World Bank Definition),Individuals using the Internet (% of population) - IT.NET.USER.ZS,"Life expectancy at birth, total (years) - SP.DYN.LE00.IN","Population, total - SP.POP.TOTL",Regime Type (RoW Measure Definition),Rural population (% of total population) - SP.RUR.TOTL.ZS,Total natural resources rents (% of GDP) - NY.GDP.TOTL.RT.ZS,Urban population (% of total population) - SP.URB.TOTL.IN.ZS,World Regions (UN SDG Definition),Cluster
China,CHN,2000,96.93087006,8.731052802,18.98691704,5.283052531,1.796853766,0.0,0.720125879,,135.580416,,9.0,,,20.89344482,63.57078828,1211350000000.0,959.3724836,16.83842985,97.14381677,35.73954699,18.51709397,0.347811227,,21.78284182,,16.63949819,29.60300064,44.85821915,,60.25989914,39.41053879,62.5,,,50.0,,,,,3349.295,Asia,,Lower-middle income,,,,Closed Autocracy,64.123,,,Eastern and South-Eastern Asia,1
China,CHN,2001,97.21321869,10.84297313,21.33956099,5.124909247,1.557535208,0.0,0.688527055,,141.085625,,9.0,,,20.31214574,61.93324901,1339400000000.0,1053.108243,16.41343935,97.47484573,37.26929982,18.21521353,0.719125609,,21.78284182,22.20572,18.95851917,28.33499908,44.7024498,112.3415909,60.08422089,38.52735928,62.5,10.0,,50.0,,,,,3426.144,Asia,,Lower-middle income,2.639650215,71.732,1271850000.0,Closed Autocracy,62.907,2.48324271540327,37.093,Eastern and South-Eastern Asia,1
China,CHN,2002,97.4872818,11.48976626,23.19419454,5.330136255,1.229460583,0.0,0.657373669,,145.3901447,,9.0,,,22.64474567,60.98344325,1470550000000.0,1148.50829,16.07042441,97.13688669,38.88322548,20.10265796,-0.731970902,,21.78284182,,17.6186279,26.97839928,40.05329895,,60.28450012,42.74740363,65.0,9.4,31.7,,,,,,3782.439,Asia,42.0,Lower-middle income,4.595704331,72.061,1280400000.0,Closed Autocracy,61.575,1.87367513080802,38.425,Eastern and South-Eastern Asia,1
China,CHN,2003,97.75187683,11.24270943,25.93859822,5.774813522,1.276218941,0.0,0.620973393,,153.5509354,,9.0,,,26.98075653,58.02199431,1660290000000.0,1288.643252,15.31420932,97.6421249,42.41349965,24.82323147,1.127603487,,20.23450586,,15.03704033,23.84149933,39.19935989,,62.14112854,51.803988,65.0,8.6,,,,,,,4452.31,Asia,,Lower-middle income,6.2,72.381,1288400000.0,Closed Autocracy,60.224,1.95339294703224,39.776,Eastern and South-Eastern Asia,1
China,CHN,2004,98.00583649,10.71634372,27.50082743,5.913657469,2.822754991,0.0,0.590855101,,149.7935547,,9.0,,,31.06133758,55.23624791,1955350000000.0,1508.668098,14.62534231,97.08344517,45.67236719,28.44418664,3.824637431,,20.23450586,,16.22326642,20.16080093,,,,59.50552422,70.0,7.9,,,,,,,5125.894,Asia,,Lower-middle income,7.3,72.689,1296075000.0,Closed Autocracy,58.856,4.66195231476148,41.144,Eastern and South-Eastern Asia,1
China,CHN,2005,98.2481308,12.36723896,27.28585186,6.036138444,3.216715311,0.0,0.557140859,,151.0858036,,9.0,,,33.82985757,54.3845409,2285970000000.0,1753.417829,14.79766254,94.73069044,45.95478215,28.3780353,1.776414077,,20.26845638,,16.17502498,17.44079971,,,,62.20789287,70.0,7.0,18.5,95.0,,,,,5771.168,Asia,40.9,Lower-middle income,8.523257003,72.985,1303720000.0,Closed Autocracy,57.478,5.0409914972533,42.522,Eastern and South-Eastern Asia,1
China,CHN,2006,98.48129272,13.81825642,28.74055013,5.817694399,3.55736248,0.0,0.511503574,9.620644765,157.4945325,,9.0,,,36.03502555,52.57249548,2752130000000.0,2099.229435,14.82051595,92.48283417,48.26050056,28.44385835,1.649430995,91.6324234,20.26845638,18.25192,15.59278342,16.38509941,42.55636978,100.9932785,71.32845306,64.4788839,72.5,6.1,,95.0,,,,,6377.748,Asia,,Lower-middle income,10.52315262,73.271,1311020000.0,Closed Autocracy,56.132,5.50467837732991,43.868,Eastern and South-Eastern Asia,1
China,CHN,2007,98.71140289,14.91086892,30.78037,4.837144733,3.972413425,0.0,0.471421377,11.99594266,149.3719645,,9.0,,,35.43479853,50.99628774,3550340000000.0,2693.970063,14.62676193,91.47847791,50.27522182,26.75856495,4.816767674,93.34789276,20.62099224,17.68203,15.26334714,14.88370037,44.7893219,100.7070465,76.78765869,62.19336348,72.5,5.0,,97.19,,,,,6861.751,Asia,,Lower-middle income,16.0,73.553,1317885000.0,Closed Autocracy,54.801,6.37642908341959,45.199,Eastern and South-Eastern Asia,1
China,CHN,2008,98.94470215,6.646731543,30.19103528,4.376807316,5.723302105,0.0,0.459037636,15.6203831,148.8409141,,9.0,,,32.60271402,49.77349454,4594310000000.0,3468.304602,14.48561439,92.04252135,51.78759347,25.01000133,5.92525137,99.27693939,21.32574489,17.55452,17.73744406,14.13780022,47.0922699,100.7424393,81.71283722,57.61271534,69.375,4.0,14.9,98.68,,,,,7375.19,Asia,43.0,Lower-middle income,22.6,73.835,1324655000.0,Closed Autocracy,53.461,9.70533287956805,46.539,Eastern and South-Eastern Asia,1
China,CHN,2009,99.18741608,12.82285342,31.96322774,4.095579706,2.333844101,0.0,0.455742817,19.89340013,175.0913789,,9.0,,,24.74985594,50.08027204,5101700000000.0,3832.236432,14.75297613,95.43650787,50.37304063,20.43501444,-0.728165251,98.29463196,21.32574489,17.21563,17.8637982,13.43190002,50.15158081,100.0061035,85.45140839,45.18487038,69.375,2.8,,99.46,,,,,7758.812,Asia,,Lower-middle income,28.9,74.119,1331260000.0,Closed Autocracy,52.12,3.98616521268088,47.88,Eastern and South-Eastern Asia,1
