Country Name,Country Code,Year,Access to electricity (% of population) - EG.ELC.ACCS.ZS,Adjusted net national income per capita (annual % growth) - NY.ADJ.NNTY.PC.KD.ZG,"Adjusted net savings, excluding particulate emission damage (% of GNI) - NY.ADJ.SVNX.GN.ZS",Adjusted savings: carbon dioxide damage (% of GNI) - NY.ADJ.DCO2.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) - NY.ADJ.DRES.GN.ZS,Adjusted savings: net forest depletion (% of GNI) - NY.ADJ.DFOR.GN.ZS,Adjusted savings: particulate emission damage (% of GNI) - NY.ADJ.DPEM.GN.ZS,"Automated teller machines (ATMs) (per 100,000 adults) - FB.ATM.TOTL.P5",Broad money (% of GDP) - FM.LBL.BMNY.GD.ZS,Children out of school (% of primary school age) - SE.PRM.UNER.ZS,"Compulsory education, duration (years) - SE.COM.DURS","Cost of business start-up procedures, female (% of GNI per capita) - IC.REG.COST.PC.FE.ZS","Cost of business start-up procedures, male (% of GNI per capita) - IC.REG.COST.PC.MA.ZS",Exports of goods and services (% of GDP) - NE.EXP.GNFS.ZS,Final consumption expenditure (% of GDP) - NE.CON.TOTL.ZS,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,General government final consumption expenditure (% of GDP) - NE.CON.GOVT.ZS,Gross national expenditure (% of GDP) - NE.DAB.TOTL.ZS,Gross savings (% of GDP) - NY.GNS.ICTR.ZS,Imports of goods and services (% of GDP) - NE.IMP.GNFS.ZS,"Inflation, consumer prices (annual %) - FP.CPI.TOTL.ZG","Primary completion rate, total (% of relevant age group) - SE.PRM.CMPT.ZS",Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,"Pupil-teacher ratio, primary - SE.PRM.ENRL.TC.ZS",Renewable electricity output (% of total electricity output) - EG.ELC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption) - EG.FEC.RNEW.ZS,"School enrollment, preprimary (% gross) - SE.PRE.ENRR","School enrollment, primary (% gross) - SE.PRM.ENRR","School enrollment, secondary (% gross) - SE.SEC.ENRR",Trade (% of GDP) - NE.TRD.GNFS.ZS,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Prevalence of undernourishment (%) - SN_ITK_DEFC - 2.1.1,Proportion of population below international poverty line (%) - SI_POV_DAY1 - 1.1.1,Proportion of population covered by at least a 2G mobile network (%) - IT_MOB_2GNTWK - 9.c.1,Proportion of population covered by at least a 3G mobile network (%) - IT_MOB_3GNTWK - 9.c.1,Proportion of population using basic drinking water services (%) - SP_ACS_BSRVH2O - 1.4.1,"Unemployment rate, male (%) - SL_TLF_UEM - 8.5.2","Unemployment rate, women (%) - SL_TLF_UEM - 8.5.2","Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes",Continent,Gini index (World Bank estimate) - SI.POV.GINI,Income Classification (World Bank Definition),Individuals using the Internet (% of population) - IT.NET.USER.ZS,"Life expectancy at birth, total (years) - SP.DYN.LE00.IN","Population, total - SP.POP.TOTL",Regime Type (RoW Measure Definition),Rural population (% of total population) - SP.RUR.TOTL.ZS,Total natural resources rents (% of GDP) - NY.GDP.TOTL.RT.ZS,Urban population (% of total population) - SP.URB.TOTL.IN.ZS,World Regions (UN SDG Definition),Cluster
Burundi,BDI,2000,2.439689159,-0.697762116,-26.80227302,0.569412845,14.47623933,14.47623933,3.357123877,,17.17285506,58.55841827,,,,6.318970594,107.1346456,870486065.9,136.4639708,14.85669833,109.9157833,1.32796785,16.23475389,24.43202421,24.35050011,14.40677966,55.35975,98.01980198,93.22570038,0.790120006,58.00494003,,22.55372449,64.375,,,,,,,,0.271,Africa,,Low income,,,,Closed Autocracy,91.754,,,Sub-Saharan Africa,3
Burundi,BDI,2001,2.801317215,-9.863248058,-31.31901813,0.460845575,18.75111942,18.68393896,3.40135089,,17.22578164,49.7239418,,,,5.179202165,106.1373827,876794723.1,134.3634269,15.53307382,110.6056413,1.489883647,15.78484345,9.296187713,24.78704071,14.40677966,50.19719,98.29059829,94.84069824,1.151029944,60.86331177,10.10021973,20.96404561,64.375,,,,,,,,0.205,Africa,,Low income,0.106001245,49.93,6525546.0,Closed Autocracy,91.539,18.812078087963,8.461,Sub-Saharan Africa,3
Burundi,BDI,2002,3.154657125,-6.646730442,-33.93862077,0.527992495,24.34033092,24.19008635,3.41886674,,21.25234068,50.46273041,,,,4.685804181,108.3535608,825394490.2,123.1175361,14.73298684,112.302221,4.200173987,16.98802523,-1.365680053,25.1833992,18.43575419,49.07639,98.45320959,94.64880371,1.255010009,65.64196777,10.43820953,21.67382941,64.375,,,,,,,,0.213,Africa,,Low income,0.118228412,50.81,6704118.0,Closed Autocracy,91.318,24.3014254632118,8.682,Sub-Saharan Africa,3
Burundi,BDI,2003,3.498532534,-31.210762,-47.59866482,0.441621125,40.83274493,40.77256863,3.554879958,,24.02434631,47.01916122,,240.2,240.2,6.381414025,106.744694,784654423.6,113.5672513,17.46133527,114.613484,6.755630908,20.99489805,10.64746457,29.58313942,18.43575419,49.90569,98.06763285,95.75839996,1.250769973,71.1733017,10.5594101,27.37631208,64.375,,,,,,,,0.161,Africa,,Low income,0.201273197,51.69,6909161.0,Closed Autocracy,91.092,40.4921952056171,8.908,Sub-Saharan Africa,3
Burundi,BDI,2004,3.831767321,24.85071161,-38.17804603,0.491425237,30.94423281,30.87072593,3.536198622,0.053467387,22.3254125,45.37348175,,181.4,181.4,6.952748287,107.3235245,915257323.4,128.3367028,19.2272663,117.6706216,6.587317715,24.62336989,8.176429375,31.79199982,18.43575419,51.24546,97.86324786,96.04109955,1.331809998,76.26712036,11.96858978,31.57611818,64.375,,,,,,,,0.198,Africa,,Low income,0.349060462,52.547,7131688.0,Closed Autocracy,90.861,30.4545201859667,9.139,Sub-Saharan Africa,3
Burundi,BDI,2005,3.207317073,12.71969161,-24.55128715,0.325483954,26.52003464,26.42408851,3.609515348,0.051216415,23.22286392,42.14048004,,190.2,190.2,6.2,104.5,1117113046.0,151.6815663,14.1,122.7,15.3535761,28.9,13.25206992,33.94643021,30.50847458,48.70398,98.04496579,96.01039886,1.789569974,80.97310638,12.98392963,35.1,64.375,,,,,,,,0.154,Africa,,Low income,0.542142866,53.369,7364857.0,Electoral Autocracy,90.625,26.4632869634632,9.375,Sub-Saharan Africa,3
Burundi,BDI,2006,2.66,12.38696446,-27.08085889,0.361974861,23.70713154,23.47487445,3.454251069,0.049156064,26.27486984,25.4846096,,213.8,213.8,7.3,109.2870295,1273375020.0,167.3764625,15.2,127.8000153,8.009435489,35.1,2.745420002,,30.50847458,54.18522,97.90136411,95.30500031,1.765930057,102.9002991,14.13834,42.4,64.375,,78.6,82.0,,,,,0.183,Africa,33.4,Low income,0.65759259,54.163,7607850.0,Electoral Autocracy,90.383,23.9491794668622,9.617,Sub-Saharan Africa,3
Burundi,BDI,2007,4.775167942,-12.89219561,-35.52155272,0.355934176,31.93941538,31.69314798,3.207128305,0.047173527,24.61961341,18.16028976,,241.2,241.2,6.800000136,110.0135493,1356199365.0,172.4955966,19.00000068,125.2000076,7.336470748,31.99999864,8.412062858,38.66096115,30.50847458,51.99833,98.32578542,95.29160309,3.484430075,115.3082886,15.08487034,38.79999877,64.375,,,,,,,,0.202,Africa,,Low income,0.7,54.944,7862226.0,Electoral Autocracy,90.136,32.3563567648798,9.864,Sub-Saharan Africa,3
Burundi,BDI,2008,4.8,1.994657856,-44.10729459,0.317759949,32.51370797,32.25035929,2.921826231,0.067960514,25.25888488,7.551370144,,206.7,206.7,10.50000026,112.7910162,1611835902.0,198.3528517,20.20000115,126.1999749,-1.504462878,36.69999932,24.40695104,41.65348816,30.50847458,,98.24236086,95.14550018,,122.9431534,,47.19999958,64.375,,,,,55.0,2.2,1.1,0.209,Africa,,Low income,0.81,55.721,8126104.0,Electoral Autocracy,89.882,33.0482440418152,10.118,Sub-Saharan Africa,3
Burundi,BDI,2009,5.40973711,3.976118087,-29.28841611,0.298271938,30.06245291,29.87088967,2.674312569,0.28332483,25.79046219,9.240429878,,145.7,145.7,6.600000274,103.6251414,1781455092.0,212.1370572,19.70000123,122.6000144,9.853377868,29.20000329,10.55543553,48.35905838,31.3559322,51.36121,96.39363748,95.1760025,12.0686903,131.5227356,20.12478065,35.80000356,73.125,,,83.0,0.0,,,,0.169,Africa,,Low income,0.9,56.488,8397661.0,Electoral Autocracy,89.624,30.3366575654188,10.376,Sub-Saharan Africa,3
